sunet,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29,q30
tinamai,18-24,female,"urban, suburban","work, socializing",ambition,thoughtful,friendly,working on personal projects,"traveling, reading",moderate,more than 5,intellectual connection,happy,entp,"career growth, relationships",loss,no,constantly,"moving to a new country, graduation",somewhat,logical analysis,spiritual but not religious,tech gadget (laptop),becoming a leader in my field,seeking advice,empathy,save it,prefer not to answer,asian,chinese
fraserr,25-34,male,urban,work,integrity,thoughtful,friendly,working on personal projects,sports,liberal,2-3,trust,balanced,i don't know,career growth,failure,no,rarely,graduation,no,logical analysis,atheist,family heirloom,helping others,analysing all options,empathy,work a side gig,"over $150,000",white,english
bob9001,18-24,male,multiple locations,hobbies,ambition,thoughtful,reserved,pursuing hobbies,video games,moderate,more than 5,fun,adventurous,intj,career growth,loneliness,no,rarely,moving to a new country,yes,intuition,atheist,home,becoming a leader in my field,relying on instinct,intelligence,save it,"less than $30,000",asian,chinese
aditesh,18-24,male,suburban,work,integrity,thoughtful,reserved,helping others,sports,prefer not to answer,prefer not to answer,trust,strict,istj,career growth,failure,prefer not to answer,prefer not to answer,prefer not to answer,somewhat,logical analysis,prefer not to answer,prefer not to answer,prefer not to answer,relying on instinct,honesty,save it,prefer not to answer,asian,english
aspark,18-24,male,suburban,work,ambition,outgoing,neutral,traveling,reading,moderate,4-5,intellectual connection,happy,intj,career growth,failure,unsure,rarely,graduation,yes,logical analysis,agnostic,home,becoming a leader in my field,analyzing all options,intelligence,buy something special,over $150k,asian,korean
jtian25,18-24,male,small town,work,compassion,outgoing,friendly,pursuing hobbies,sports,prefer not to answer,more than 5,fun,balanced,intj,financial stability,loss,prefer not to answer,occasionally,loss of a loved one,yes,logical analysis,undecided,prefer not to answer,helping others,analyze all options,empathy,save it,prefer not to answer,asian,english
kdao,18-24,male,suburban,hobbies,compassion,thoughtful,reserved,traveling,video games,liberal,2,trust,adventurous,entj,financial stability,failure,no,rarely,attending college,yes,logical analysis,atheist,pc,financial independence,analyzing all options,empathy,save it,"less than $30,000",asian,vietnamese
ruishich,18-24,female,multiple location,work,compassion,introverted,friendly,traveling,sports,apolitical,4-5,trust,balanced,enfj,career growth,uncertainty,no,never,moving to a new country,somewhat,logical analysis,undecided,tech gadget,becoming a leader in my field,analyzing all options,empathy and honesty,work a side gig,skip,asian,chinese
nickvo,18-24,male,suburban,work,integrity,thoughtful,reserved,helping others,reading/video games,liberal,2-3,shared experiences,balanced,enfj,career growth,loss,yes,rarely,meeting my partner,yes,logical analysis,religious,"family heirlooms (photoes, memories, etc.)",helping others,analyzing all options,empathy,save it,grad student income,asian,english
bwthomas,18-24,male,urban,work,integrity,analytical,reserved,working on personal projects,reading,liberal,4-5,intellectual connection,difficult,entj,personal development,rejection,yes,never,loss of a loved one,yes,logical analysis,athiest,tech gadget,becoming a leader in my field,analyzing all options,intelligence,buy something special,"60,000-100,000",white/caucasian,english
ealexand,18-24,female,multiple locations,work and exercising,integrity,thoughtful,reserved,helping others,arts and crafts,liberal,4-5,trust,balanced,i don't know,personal development,uncertainty,yes,frequently,moving to a new country,yes,logical analysis,agnostic,home,finanical independence,analyzing all options,honesty,buy something special,prefer not to answer,white/caucasian,other
wpo,25-34,male,rural,work,ambition,introverted,reserved,working on personal projects,video games,conservative,4-5,fun,balanced,entj,career growth,failure,no,frequently,moving to a new country,no,intuition,agnostic,jewelry,financial independence,analyzing all options,honesty,nothing,"over $150,000",white/caucasian,english
yinjunw,18-24,male,multiple locations,work,ambition,introvrted,friendly,traveling,reading,mederate,4-5,intellectual connection,balanced,intj,personal development,rejection,no,rarely,birth of a child,no,logical analysis,atheist,family,becoming a leader in my field,analyze all opinions,honesty,save it,"$60,000 - $100,000",asian,chinese
